time_s,controller_clock_s,target_angle_deg,link_angle_deg,link_velocity_rad_s,motor_angle_deg,motor_velocity_rad_s,tracking_error_deg,policy_output_raw,safe_command_raw,pre_integer_command_raw,pdo_command_raw,actual_torque_raw,fault_code,armed
0.759,13.3,30,29.7125244141,0.0660199682004,26.2291992188,0.0805833999208,0.287475585937,7.97080469131,19.0400104523,19.0400104523,21,5,0,1
0.79,13.331,30,29.4818115234,-0.180637573086,26.4875976563,0.214932872599,0.518188476562,40.6108474731,45.1745758057,45.1745758057,45,43,0,1
0.821,13.362,30,29.0643310547,-0.228995658014,26.9556152344,0.261951429282,0.935668945313,46.1798095703,43.6320533752,43.2440605164,42,40,0,1
0.854,13.395,30,28.8720703125,-0.0561483364337,27.3638671875,0.159619563238,1.1279296875,28.3674221039,19.3915672302,19.3915672302,17,35,0,1
0.879,13.42,30,29.0093994141,0.132302340843,27.4732910156,0.00545130217733,0.990600585938,-2.6348285675,-9.83780574799,-10.7441272736,-11,14,0,1
0.903,13.444,30,29.3334960938,0.286363614857,27.4495605469,-0.020488109495,0.66650390625,-29.5202350616,-35.4678077698,-36.4263839722,-38,-43,0,1
0.926,13.467,30,29.8223876953,0.373222260561,27.4412109375,0.000198246965283,0.177612304687,-44.4840583801,-46.4211425781,-46.6791305542,-48,-49,0,1
0.961,13.502,30,30.5529785156,0.302818699668,27.4420898438,0.00190341785043,-0.552978515625,-46.8452606201,-45.482257843,-44.8173027039,-44,-49,0,1
0.991,13.532,30,30.7836914063,0.15244476974,27.446484375,0.00479071961678,-0.78369140625,-33.8584823608,-27.6664409637,-27.6664409637,-27,-33,0,1
1.022,13.563,30,30.7122802734,-0.0881370526091,27.4680175781,0.0202414636465,-0.712280273438,1.59461867809,10.0819978714,11.4518957138,12,-7,0,1
1.055,13.596,30,30.3057861328,-0.244274923417,27.6020507813,0.112912622923,-0.305786132813,30.4691333771,32.1212234497,32.2700386047,32,28,0,1
1.08,13.621,30,29.8883056641,-0.215614512048,27.8687988281,0.146348816877,0.111694335938,31.7315406799,28.0439739227,27.5756034851,27,22,0,1
1.113,13.654,30,29.7344970703,-0.0755437099464,28.0401855469,0.0761968940503,0.265502929688,16.153175354,7.00317192078,5.68021154404,4,8,0,1
1.14,13.681,30,29.8388671875,0.101692227706,28.0529296875,-0.0155018415305,0.1611328125,-12.2292366028,-20.7711257935,-21.9092464447,-24,-19,0,1
1.164,13.705,30,30.146484375,0.234440992957,28.0393066406,-0.014990320219,-0.146484375,-40.5181312561,-44.3462219238,-44.834564209,-46,-43,0,1
1.188,13.729,30,30.5310058594,0.288488459683,28.0177734375,-0.00872583820558,-0.531005859375,-49.6502876282,-50.363571167,-50.5223121643,-51,-45,0,1
1.213,13.754,30,30.8825683594,0.273101335203,28.0168945313,9.36212302349e-07,-0.882568359375,-51.0188827515,-50.3623695374,-50.2346343994,-51,-40,0,1
1.236,13.777,30,31.1462402344,0.165800629711,28.0182128906,0.000225696880534,-1.14624023437,-45.9914321899,-42.5599975586,-42.201210022,-43,-43,0,1
1.262,13.803,30,31.201171875,0.0218497850254,28.0221679688,0.00706063196105,-1.201171875,-31.7776298523,-23.692855835,-22.5311775208,-22,-31,0,1
1.286,13.827,30,31.0748291016,-0.102095666569,28.0437011719,0.018852940617,-1.07482910156,-6.03155183792,-1.26875913143,-0.671546339989,0,-5,0,1
1.311,13.852,30,30.8221435547,-0.193323820773,28.0801757813,0.0296807885973,-0.822143554688,11.2572860718,15.3299436569,15.3299436569,15,12,0,1
1.339,13.88,30,30.5200195313,-0.192249394471,28.142578125,0.0381293363026,-0.52001953125,18.8397521973,18.9695110321,19.0086402893,19,26,0,1
1.378,13.919,30,30.2728271484,-0.0801382355691,28.1913574219,-0.000833992512071,-0.272827148438,8.13136577606,4.58633422852,4.08365392685,4,3,0,1
1.408,13.949,30,30.3112792969,0.0513824174122,28.1887207031,-0.00441204091675,-0.311279296875,-12.5905971527,-18.9926204681,-18.9926204681,-21,-15,0,1
1.441,13.982,30,30.5419921875,0.147173515192,28.1768554688,-0.00766439455697,-0.5419921875,-37.4753036499,-39.589138031,-39.8266448975,-40,-36,0,1
1.465,14.006,30,30.76171875,0.15974564758,28.17421875,-4.23509737857e-06,-0.76171875,-42.4852981567,-42.7969551086,-42.8010940552,-43,-47,0,1
1.489,14.03,30,30.9704589844,0.117100464496,28.17421875,-5.68434188608e-13,-0.970458984375,-42.2272338867,-41.3772659302,-41.1537971497,-41,-45,0,1
