step,time_s,angle_q_deg,angle_th_deg,target_deg,error_q_deg,action_A,inference_ms
125,0.125000,12.885498,4.587644,17.682226,-4.796728,57.028492,0.770781
126,0.126000,13.041316,4.596389,17.682226,-4.640910,57.696384,0.765282
127,0.127000,13.194388,4.609342,17.682226,-4.487838,58.257042,0.767991
128,0.128000,13.344669,4.626521,17.682226,-4.337557,58.827503,0.768431
129,0.129000,13.492112,4.647947,17.682226,-4.190114,59.348827,0.757822
130,0.130000,13.636678,4.673637,17.682226,-4.045548,59.582783,1.208696
131,0.131000,13.778324,4.703593,17.682226,-3.903902,59.712261,0.765261
132,0.132000,13.917013,4.737808,17.682226,-3.765213,59.741402,1.040428
133,0.133000,14.052714,4.776265,17.682226,-3.629512,59.669239,0.759551
134,0.134000,14.185391,4.818945,17.682226,-3.496835,59.490986,0.766501
135,0.135000,14.315016,4.865818,17.682226,-3.367210,59.198277,0.775211
136,0.136000,14.441562,4.916847,17.682226,-3.240664,58.778511,0.777211
137,0.137000,14.565006,4.971988,17.682226,-3.117220,58.215809,0.781921
138,0.138000,14.685325,5.031187,17.682226,-2.996901,57.491196,0.768721
139,0.139000,14.802499,5.094380,17.682226,-2.879727,56.600353,0.766651
140,0.140000,14.916512,5.161490,17.682226,-2.765714,55.718166,0.754511
141,0.141000,15.027348,5.232440,17.682226,-2.654877,55.322140,0.764231
142,0.142000,15.134999,5.307181,17.682226,-2.547227,54.908321,0.773201
143,0.143000,15.239451,5.385671,17.682226,-2.442774,54.773579,0.773541
144,0.144000,15.340702,5.467887,17.682226,-2.341524,54.892857,0.761612
145,0.145000,15.438744,5.553824,17.682226,-2.243482,54.940750,0.762421
146,0.146000,15.533577,5.643476,17.682226,-2.148649,54.963684,0.774591
147,0.147000,15.625200,5.736837,17.682226,-2.057026,54.894161,0.766211
148,0.148000,15.713615,5.833892,17.682226,-1.968611,54.709667,0.776521
149,0.149000,15.798830,5.934617,17.682226,-1.883396,54.392757,1.186016
150,0.150000,15.880851,6.038980,17.682226,-1.801375,53.790955,0.776251
151,0.151000,15.959688,6.146929,17.682226,-1.722538,53.107380,1.098548
152,0.152000,16.035355,6.258401,17.682226,-1.646871,52.442677,0.768671
153,0.153000,16.107864,6.373336,17.682226,-1.574362,51.605984,0.780241
154,0.154000,16.177235,6.491663,17.682226,-1.504991,50.651501,0.767271
155,0.155000,16.243486,6.613303,17.682226,-1.438740,49.445667,0.786840
156,0.156000,16.306640,6.738162,17.682226,-1.375586,47.940857,0.801770
157,0.157000,16.366720,6.866125,17.682226,-1.315506,46.375736,0.757921
158,0.158000,16.423752,6.997070,17.682226,-1.258474,45.034328,0.768511
159,0.159000,16.477763,7.130887,17.682226,-1.204463,43.478085,0.776071
160,0.160000,16.528786,7.267460,17.682226,-1.153440,41.859604,0.773641
161,0.161000,16.576854,7.406665,17.682226,-1.105372,40.206642,0.764581
162,0.162000,16.621998,7.548379,17.682226,-1.060228,38.365536,0.768511
163,0.163000,16.664255,7.692467,17.682226,-1.017971,36.503704,0.757631
164,0.164000,16.703663,7.838790,17.682226,-0.978563,34.701183,0.760851
165,0.165000,16.740264,7.987216,17.682226,-0.941962,32.713657,0.771601
166,0.166000,16.774098,8.137598,17.682226,-0.908128,31.087568,0.783651
167,0.167000,16.805209,8.289815,17.682226,-0.877017,29.344925,0.771911
168,0.168000,16.833640,8.443741,17.682226,-0.848586,27.662748,1.174626
169,0.169000,16.859437,8.599253,17.682226,-0.822788,26.475851,0.951799
170,0.170000,16.882652,8.756260,17.682226,-0.799574,25.587410,0.933660
171,0.171000,16.903330,8.914694,17.682226,-0.778896,24.634060,0.765181
172,0.172000,16.921522,9.074489,17.682226,-0.760704,23.521175,0.770401
173,0.173000,16.937283,9.235569,17.682226,-0.744943,22.219917,0.777411
174,0.174000,16.950661,9.397845,17.682226,-0.731564,20.159538,0.755692
175,0.175000,16.961716,9.561180,17.682226,-0.720510,18.769381,0.761331
176,0.176000,16.970501,9.725461,17.682226,-0.711724,17.505304,0.779821
177,0.177000,16.977072,9.890595,17.682226,-0.705154,16.093800,0.765781
178,0.178000,16.981490,10.056480,17.682226,-0.700736,14.671775,0.782581
179,0.179000,16.983808,10.223017,17.682226,-0.698418,13.329416,0.779651
180,0.180000,16.984092,10.390110,17.682226,-0.698134,12.035448,0.758411
181,0.181000,16.982398,10.557666,17.682226,-0.699828,11.281364,0.757321
182,0.182000,16.978792,10.725624,17.682226,-0.703434,10.403796,0.769121
183,0.183000,16.973331,10.893926,17.682226,-0.708895,9.655869,0.773981
184,0.184000,16.966082,11.062519,17.682226,-0.716144,8.912038,0.765001
185,0.185000,16.957109,11.231354,17.682226,-0.725117,8.049138,0.784291
186,0.186000,16.946473,11.400370,17.682226,-0.735753,7.057965,0.759631
187,0.187000,16.934242,11.569503,17.682226,-0.747984,6.184804,1.036238
188,0.188000,16.920481,11.738688,17.682226,-0.761745,5.217529,0.766011
189,0.189000,16.905256,11.907856,17.682226,-0.776970,4.340962,1.023598
190,0.190000,16.888633,12.076946,17.682226,-0.793593,3.596841,0.759061
191,0.191000,16.870680,12.245903,17.682226,-0.811546,2.740810,0.770721
192,0.192000,16.851463,12.414670,17.682226,-0.830763,1.755169,0.762831
193,0.193000,16.831053,12.583179,17.682226,-0.851173,0.634917,0.790210
194,0.194000,16.809516,12.751354,17.682226,-0.872710,-0.227330,0.770891
195,0.195000,16.786920,12.919131,17.682226,-0.895306,-0.991572,0.763401
196,0.196000,16.763333,13.086456,17.682226,-0.918893,-1.882810,0.759791
197,0.197000,16.738828,13.253271,17.682226,-0.943398,-3.400941,0.763302
198,0.198000,16.713471,13.419478,17.682226,-0.968755,-4.567977,0.761331
199,0.199000,16.687330,13.584991,17.682226,-0.994896,-6.480088,0.775581
200,0.200000,16.660476,13.749687,17.682226,-1.021750,-9.187564,0.770262
201,0.201000,16.632977,13.913386,17.682226,-1.049249,-11.889035,0.768821
202,0.202000,16.604904,14.075898,17.682226,-1.077322,-14.233004,0.761531
203,0.203000,16.576323,14.237051,17.682226,-1.105903,-16.275303,0.766651
204,0.204000,16.547301,14.396700,17.682226,-1.134925,-19.087406,0.777261
205,0.205000,16.517911,14.554664,17.682226,-1.164315,-21.121902,0.790701
206,0.206000,16.488217,14.710795,17.682226,-1.194009,-22.706341,1.182846
207,0.207000,16.458285,14.864985,17.682226,-1.223941,-23.960323,0.775161
208,0.208000,16.428183,15.017154,17.682226,-1.254043,-25.067280,1.111598
209,0.209000,16.397976,15.167236,17.682226,-1.284250,-26.791069,0.767471
210,0.210000,16.367729,15.315132,17.682226,-1.314497,-28.599888,0.773081
211,0.211000,16.337507,15.460727,17.682226,-1.344719,-30.283901,0.787211
212,0.212000,16.307370,15.603914,17.682226,-1.374856,-31.947414,0.774171
213,0.213000,16.277384,15.744580,17.682226,-1.404842,-33.627968,0.766482
214,0.214000,16.247608,15.882621,17.682226,-1.434618,-35.021187,0.760871
215,0.215000,16.218105,16.017944,17.682226,-1.464121,-36.378513,0.760771
216,0.216000,16.188930,16.150466,17.682226,-1.493296,-37.890759,0.765722
217,0.217000,16.160144,16.280092,17.682226,-1.522082,-39.692116,0.766961
218,0.218000,16.131804,16.406714,17.682226,-1.550422,-41.441898,0.772741
219,0.219000,16.103964,16.530217,17.682226,-1.578262,-43.091793,0.767701
220,0.220000,16.076679,16.650497,17.682226,-1.605547,-44.635273,0.756951
221,0.221000,16.050004,16.767454,17.682226,-1.632222,-46.367336,0.761551
222,0.222000,16.023988,16.880980,17.682226,-1.658238,-48.346096,0.775171
223,0.223000,15.998682,16.990953,17.682226,-1.683544,-50.164127,0.777311
224,0.224000,15.974134,17.097256,17.682226,-1.708092,-51.716877,0.775011
225,0.225000,15.950391,17.199787,17.682226,-1.731835,-53.979610,1.212316
226,0.226000,15.927499,17.298412,17.682226,-1.754727,-55.944290,0.934119
227,0.227000,15.905503,17.393003,17.682226,-1.776723,-57.543087,0.911830
228,0.228000,15.884443,17.483454,17.682226,-1.797783,-58.898159,0.779901
229,0.229000,15.864359,17.569685,17.682226,-1.817867,-60.048752,0.772271
230,0.230000,15.845289,17.651627,17.682226,-1.836937,-61.005470,0.764982
231,0.231000,15.827271,17.729228,17.682226,-1.854955,-61.754414,0.769091
232,0.232000,15.810337,17.802454,17.682226,-1.871888,-62.368504,0.771971
233,0.233000,15.794520,17.871279,17.682226,-1.887705,-62.825359,0.763961
234,0.234000,15.779853,17.935684,17.682226,-1.902373,-63.178932,0.774261
235,0.235000,15.766361,17.995662,17.682226,-1.915865,-63.500912,0.766421
236,0.236000,15.754072,18.051206,17.682226,-1.928154,-63.685291,0.763592
237,0.237000,15.743011,18.102318,17.682226,-1.939215,-63.720039,0.764151
238,0.238000,15.733197,18.149011,17.682226,-1.949029,-63.686375,0.758611
239,0.239000,15.724654,18.191299,17.682226,-1.957571,-63.697186,0.759502
240,0.240000,15.717399,18.229196,17.682226,-1.964827,-63.522083,0.768181
241,0.241000,15.711448,18.262729,17.682226,-1.970778,-62.979290,0.771321
242,0.242000,15.706816,18.291940,17.682226,-1.975410,-62.639759,0.772291
243,0.243000,15.703515,18.316872,17.682226,-1.978711,-62.337109,0.766211
244,0.244000,15.701555,18.337560,17.682226,-1.980671,-61.901558,1.081267
245,0.245000,15.700942,18.354043,17.682226,-1.981284,-61.303310,0.775301
246,0.246000,15.701686,18.366375,17.682226,-1.980540,-60.549942,1.022898
247,0.247000,15.703788,18.374616,17.682226,-1.978438,-59.608704,0.763071
248,0.248000,15.707253,18.378840,17.682226,-1.974973,-58.416935,0.788231
249,0.249000,15.712080,18.379141,17.682226,-1.970146,-57.047405,0.766141
250,0.250000,15.718267,18.375625,17.682226,-1.963959,-55.364197,0.771011
251,0.251000,15.725810,18.368414,17.682226,-1.956415,-53.355339,0.772881
252,0.252000,15.734707,18.357660,17.682226,-1.947519,-52.135647,0.769681
253,0.253000,15.744949,18.343467,17.682226,-1.937277,-51.436962,0.757982
254,0.254000,15.756528,18.325900,17.682226,-1.925698,-50.687382,0.762221
255,0.255000,15.769431,18.305013,17.682226,-1.912794,-49.957642,0.774451
256,0.256000,15.783649,18.280863,17.682226,-1.898577,-49.176609,0.763721
257,0.257000,15.799167,18.253503,17.682226,-1.883059,-48.269436,0.791570
258,0.258000,15.815971,18.223001,17.682226,-1.866255,-47.212692,0.768371
259,0.259000,15.834043,18.189434,17.682226,-1.848183,-46.202595,0.765631
260,0.260000,15.853366,18.152879,17.682226,-1.828860,-45.260120,0.757321
261,0.261000,15.873920,18.113407,17.682226,-1.808306,-44.253189,0.768751
262,0.262000,15.895681,18.071098,17.682226,-1.786545,-43.102802,0.768101
263,0.263000,15.918630,18.026030,17.682226,-1.763596,-41.800983,1.179436
264,0.264000,15.942741,17.978303,17.682226,-1.739485,-40.380276,0.770811
265,0.265000,15.967987,17.928017,17.682226,-1.714239,-39.174679,1.027878
266,0.266000,15.994343,17.875269,17.682226,-1.687883,-38.224110,0.857660
267,0.267000,16.021781,17.820131,17.682226,-1.660445,-37.289753,0.778481
268,0.268000,16.050272,17.762672,17.682226,-1.631954,-36.491112,0.781371
269,0.269000,16.079783,17.702954,17.682226,-1.602443,-35.812889,0.766851
270,0.270000,16.110285,17.641025,17.682226,-1.571941,-35.058937,0.766711
271,0.271000,16.141743,17.576939,17.682226,-1.540483,-34.273399,0.761551
272,0.272000,16.174125,17.510752,17.682226,-1.508101,-33.536499,0.763771
273,0.273000,16.207395,17.442522,17.682226,-1.474831,-32.736320,0.762351
274,0.274000,16.241517,17.372303,17.682226,-1.440709,-31.707615,0.781201
275,0.275000,16.276453,17.300169,17.682226,-1.405772,-30.175390,0.763111
276,0.276000,16.312167,17.226224,17.682226,-1.370059,-28.708582,0.760601
277,0.277000,16.348618,17.150576,17.682226,-1.333608,-27.624748,0.765101
278,0.278000,16.385767,17.073311,17.682226,-1.296459,-26.572418,0.767121
279,0.279000,16.423572,16.994508,17.682226,-1.258654,-25.560690,0.765481
280,0.280000,16.461994,16.914238,17.682226,-1.220232,-24.695999,0.779731
281,0.281000,16.500989,16.832564,17.682226,-1.181237,-23.798756,0.765951
282,0.282000,16.540514,16.749550,17.682226,-1.141712,-22.755045,1.207436
283,0.283000,16.580527,16.665264,17.682226,-1.101699,-21.195799,0.775421
