time_from_target_start_s,wall_time_s,controller_clock_s,fault_code,armed,stop_request,policy_output_numeric,heartbeat,raw_candidate,statusword,controlword,drive_state_internal,mode_command,actual_torque_raw,ethercat_init,safe_command_raw,pre_integer_command_raw,pdo_command_int16_raw,mapping_error_raw,q_link_rad,dq_link_rad_s,theta_joint_rad,dtheta_joint_rad_s,external_target_rad,atomic_safe_applied_error_raw,atomic_applied_pdo_error_raw,atomic_chain_error_raw
39.93300000000001,52.4977512,52.468,0,1,0,102.946746826172,52473,103.044586181641,4279,0,4,10,98,0,103.442428588867,103.605255126953,103,0,-0.241026731296531,0.79329514155279,-0.209886921302453,0.703385397590466,-0.0302625730523316,0,0.421195983886719,0.421195983886719
39.958,52.5253082,52.493,0,1,0,104.767715454102,52498,104.776473999023,4279,0,4,10,105,0,104.787368774414,104.787368774414,104,0,-0.220701485857047,0.762173873272928,-0.189822452596909,0.726168081269918,-0.0118432728054942,0,0.762336730957031,0.757919311523438
39.986000000000004,52.5505592,52.521,0,1,0,104.902069091797,52525,104.903381347656,4279,0,4,10,98,0,104.80298614502,104.858993530273,104,0,-0.201814347406205,0.762136974704219,-0.17115390640834,0.719059861905265,0.00526376684098699,0,0.52044677734375,0.52044677734375
40.012,52.5765257,52.547,0,1,0,103.893127441406,52552,103.854263305664,4279,0,4,10,100,0,103.720260620117,103.725646972656,103,0,-0.183790073148548,0.759799630967706,-0.15223992329371,0.725926865366404,0.0217115738908276,0,0.999420166015625,0.994659423828125
40.037000000000006,52.6030203,52.572,0,1,0,103.72802734375,52577,103.431968688965,4279,0,4,10,108,0,102.215026855469,102.215026855469,102,0,-0.164902934697706,0.773721878748376,-0.133218561523929,0.73815845285705,0.0388115531229632,0,0.27203369140625,0.608322143554688
40.06399999999999,52.6307956,52.599,0,1,0,97.001838684082,52603,96.5763931274414,4279,0,4,10,87,0,97.2037963867188,97.5826644897461,97,0,-0.143427203667307,0.815438488628217,-0.113000694739596,0.703245565307867,0.0578721807363223,0,0.15728759765625,0.15728759765625
40.104,52.6684107,52.639,0,1,0,99.6452331542969,52644,99.6782836914063,4279,0,4,10,101,0,99.337646484375,99.337646484375,99,0,-0.114569190095209,0.793802456236932,-0.0860333124885662,0.712941106651044,0.0821621729081658,0,0.93597412109375,0.0525436401367188
40.134,52.6984867,52.669,0,1,0,98.4991912841797,52674,98.3290863037109,4279,0,4,10,100,0,98.8222579956055,98.7499237060547,98,0,-0.0920388472731385,0.772122689076056,-0.0644041833793786,0.723970065647308,0.101824771117762,0,0.276641845703125,0.645225524902344
40.166,52.7338076,52.701,0,1,0,103.821235656738,52706,103.818801879883,4279,0,4,10,103,0,103.43147277832,103.220985412598,103,0,-0.0666322904737825,0.741106673311535,-0.0391395198029021,0.738904005899357,0.125371520305488,0,0.2408447265625,0.2408447265625
40.194,52.7591519,52.729,0,1,0,95.8080215454102,52734,95.3915252685547,4279,0,4,10,92,0,94.6990356445313,94.6990356445313,94,0,-0.0491832590115834,0.76060666710282,-0.0206934008285773,0.724600592932635,0.141686412016492,0,0.256698608398438,0.178962707519531
40.218999999999994,52.7841983,52.754,0,1,0,93.6172332763672,52759,93.5608978271484,4279,0,4,10,92,0,92.7689208984375,92.8648376464844,92,0,-0.0301043729622557,0.777029761361092,-0.00195582550455419,0.714088952046064,0.157966344725434,0,0.493850708007813,0.335006713867188
40.244,52.8098928,52.779,0,1,0,93.3862762451172,52784,93.3611907958984,4279,0,4,10,87,0,93.2684631347656,93.3671569824219,93,0,-0.011025486912928,0.80803458542664,0.0153398078788564,0.683759632327984,0.174207301602513,0,0.475677490234375,0.475677490234375
40.269999999999996,52.8362867,52.805,0,1,0,91.5021133422852,52810,91.6716766357422,4279,0,4,10,94,0,92.1187133789063,92.4417495727539,92,0,0.00891626332958529,0.790109497543618,0.0333410724246944,0.692732273067641,0.19169913669003,0,0.982574462890625,0.472396850585938
