step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
117,0.117000,0.076890,0.025424,0.000000,0.076890,0.863087,0.999862
118,0.118000,0.077830,0.024791,0.000000,0.077830,0.878690,0.999860
119,0.119000,0.078750,0.024212,0.000000,0.078750,0.892021,0.999857
120,0.120000,0.079647,0.023690,0.000000,0.079647,0.902653,0.999855
121,0.121000,0.080522,0.023226,0.000000,0.080522,0.912136,0.999852
122,0.122000,0.081374,0.022821,0.000000,0.081374,0.917872,0.999850
123,0.123000,0.082203,0.022476,0.000000,0.082203,0.920353,0.999848
124,0.124000,0.083007,0.022192,0.000000,0.083007,0.917930,0.999845
125,0.125000,0.083788,0.021969,0.000000,0.083788,0.912538,0.999843
126,0.126000,0.084544,0.021809,0.000000,0.084544,0.902854,0.999841
127,0.127000,0.085274,0.021712,0.000000,0.085274,0.890065,0.999839
128,0.128000,0.085980,0.021678,0.000000,0.085980,0.874858,0.999837
129,0.129000,0.086660,0.021708,0.000000,0.086660,0.856732,0.999836
130,0.130000,0.087314,0.021801,0.000000,0.087314,0.837096,0.999834
131,0.131000,0.087941,0.021958,0.000000,0.087941,0.815670,0.999832
132,0.132000,0.088543,0.022177,0.000000,0.088543,0.794429,0.999831
133,0.133000,0.089118,0.022458,0.000000,0.089118,0.772395,0.999829
134,0.134000,0.089667,0.022799,0.000000,0.089667,0.751083,0.999828
135,0.135000,0.090189,0.023200,0.000000,0.090189,0.729368,0.999827
136,0.136000,0.090684,0.023659,0.000000,0.090684,0.708115,0.999826
137,0.137000,0.091152,0.024174,0.000000,0.091152,0.687028,0.999824
138,0.138000,0.091594,0.024743,0.000000,0.091594,0.665206,0.999824
139,0.139000,0.092009,0.025366,0.000000,0.092009,0.644085,0.999823
140,0.140000,0.092397,0.026040,0.000000,0.092397,0.621796,0.999822
141,0.141000,0.092759,0.026763,0.000000,0.092759,0.599262,0.999821
142,0.142000,0.093094,0.027534,0.000000,0.093094,0.575805,0.999821
143,0.143000,0.093403,0.028352,0.000000,0.093403,0.552446,0.999820
144,0.144000,0.093687,0.029214,0.000000,0.093687,0.528450,0.999820
145,0.145000,0.093944,0.030120,0.000000,0.093944,0.504099,0.999819
146,0.146000,0.094175,0.031068,0.000000,0.094175,0.480116,0.999819
147,0.147000,0.094381,0.032055,0.000000,0.094381,0.455748,0.999819
148,0.148000,0.094562,0.033081,0.000000,0.094562,0.431200,0.999819
149,0.149000,0.094718,0.034143,0.000000,0.094718,0.405934,0.999819
150,0.150000,0.094850,0.035240,0.000000,0.094850,0.380494,0.999819
151,0.151000,0.094957,0.036371,0.000000,0.094957,0.354487,0.999819
152,0.152000,0.095041,0.037533,0.000000,0.095041,0.328562,0.999820
153,0.153000,0.095101,0.038725,0.000000,0.095101,0.302819,0.999820
154,0.154000,0.095139,0.039945,0.000000,0.095139,0.277450,0.999820
155,0.155000,0.095153,0.041191,0.000000,0.095153,0.253140,0.999821
156,0.156000,0.095146,0.042461,0.000000,0.095146,0.229415,0.999821
157,0.157000,0.095117,0.043755,0.000000,0.095117,0.205749,0.999822
158,0.158000,0.095067,0.045069,0.000000,0.095067,0.182330,0.999823
159,0.159000,0.094996,0.046401,0.000000,0.094996,0.158729,0.999823
160,0.160000,0.094905,0.047752,0.000000,0.094905,0.134695,0.999824
161,0.161000,0.094795,0.049117,0.000000,0.094795,0.110794,0.999825
162,0.162000,0.094665,0.050496,0.000000,0.094665,0.086833,0.999826
163,0.163000,0.094517,0.051887,0.000000,0.094517,0.062470,0.999827
164,0.164000,0.094350,0.053289,0.000000,0.094350,0.038222,0.999828
165,0.165000,0.094167,0.054699,0.000000,0.094167,0.014232,0.999829
166,0.166000,0.093966,0.056116,0.000000,0.093966,-0.008669,0.999830
167,0.167000,0.093750,0.057539,0.000000,0.093750,-0.031178,0.999831
168,0.168000,0.093518,0.058965,0.000000,0.093518,-0.053332,0.999833
169,0.169000,0.093270,0.060394,0.000000,0.093270,-0.074385,0.999834
170,0.170000,0.093009,0.061823,0.000000,0.093009,-0.094323,0.999835
171,0.171000,0.092733,0.063251,0.000000,0.092733,-0.114648,0.999836
172,0.172000,0.092445,0.064676,0.000000,0.092445,-0.132149,0.999838
173,0.173000,0.092144,0.066097,0.000000,0.092144,-0.148973,0.999839
174,0.174000,0.091831,0.067512,0.000000,0.091831,-0.165162,0.999840
175,0.175000,0.091507,0.068919,0.000000,0.091507,-0.181860,0.999842
176,0.176000,0.091172,0.070318,0.000000,0.091172,-0.198361,0.999843
177,0.177000,0.090827,0.071706,0.000000,0.090827,-0.214290,0.999844
178,0.178000,0.090473,0.073083,0.000000,0.090473,-0.229870,0.999846
179,0.179000,0.090110,0.074447,0.000000,0.090110,-0.245478,0.999847
180,0.180000,0.089740,0.075797,0.000000,0.089740,-0.259567,0.999849
181,0.181000,0.089361,0.077133,0.000000,0.089361,-0.273357,0.999850
182,0.182000,0.088976,0.078452,0.000000,0.088976,-0.286563,0.999852
183,0.183000,0.088585,0.079755,0.000000,0.088585,-0.299368,0.999853
184,0.184000,0.088189,0.081040,0.000000,0.088189,-0.312214,0.999854
185,0.185000,0.087787,0.082305,0.000000,0.087787,-0.324670,0.999856
186,0.186000,0.087381,0.083550,0.000000,0.087381,-0.336600,0.999857
187,0.187000,0.086972,0.084775,0.000000,0.086972,-0.348133,0.999859
188,0.188000,0.086559,0.085977,0.000000,0.086559,-0.358986,0.999860
189,0.189000,0.086144,0.087157,0.000000,0.086144,-0.369311,0.999861
190,0.190000,0.085727,0.088313,0.000000,0.085727,-0.379224,0.999863
191,0.191000,0.085309,0.089445,0.000000,0.085309,-0.389126,0.999864
192,0.192000,0.084890,0.090552,0.000000,0.084890,-0.398136,0.999866
193,0.193000,0.084471,0.091633,0.000000,0.084471,-0.406707,0.999867
194,0.194000,0.084052,0.092687,0.000000,0.084052,-0.414988,0.999868
195,0.195000,0.083634,0.093715,0.000000,0.083634,-0.423230,0.999870
196,0.196000,0.083218,0.094714,0.000000,0.083218,-0.430625,0.999871
197,0.197000,0.082803,0.095685,0.000000,0.082803,-0.438229,0.999872
198,0.198000,0.082392,0.096626,0.000000,0.082392,-0.444615,0.999873
199,0.199000,0.081983,0.097538,0.000000,0.081983,-0.451282,0.999874
200,0.200000,0.081577,0.098420,0.000000,0.081577,-0.457629,0.999876
201,0.201000,0.081176,0.099271,0.000000,0.081176,-0.462459,0.999877
202,0.202000,0.080779,0.100092,0.000000,0.080779,-0.467126,0.999878
203,0.203000,0.080387,0.100880,0.000000,0.080387,-0.469673,0.999879
204,0.204000,0.080001,0.101637,0.000000,0.080001,-0.471433,0.999880
205,0.205000,0.079620,0.102362,0.000000,0.079620,-0.471838,0.999881
206,0.206000,0.079246,0.103053,0.000000,0.079246,-0.471974,0.999882
207,0.207000,0.078878,0.103712,0.000000,0.078878,-0.471913,0.999883
208,0.208000,0.078517,0.104338,0.000000,0.078517,-0.471970,0.999884
209,0.209000,0.078163,0.104930,0.000000,0.078163,-0.471102,0.999885
