step,time(s),angle(deg),motor_angle(deg),target(deg),error(deg),action,reward
126,0.126000,0.076523,-0.152842,0.000000,0.076523,8.054168,0.999904
127,0.127000,0.075722,-0.150688,0.000000,0.075722,7.758426,0.999908
128,0.128000,0.074836,-0.148052,0.000000,0.074836,7.556491,0.999912
129,0.129000,0.073868,-0.144928,0.000000,0.073868,6.966022,0.999916
130,0.130000,0.072819,-0.141246,0.000000,0.072819,7.008599,0.999920
131,0.131000,0.071689,-0.136967,0.000000,0.071689,7.105334,0.999924
132,0.132000,0.070482,-0.132118,0.000000,0.070482,6.527623,0.999928
133,0.133000,0.069199,-0.126728,0.000000,0.069199,5.422545,0.999932
134,0.134000,0.067843,-0.120823,0.000000,0.067843,4.250674,0.999936
135,0.135000,0.066417,-0.114424,0.000000,0.066417,4.156528,0.999940
136,0.136000,0.064924,-0.107568,0.000000,0.064924,4.048670,0.999944
137,0.137000,0.063366,-0.100265,0.000000,0.063366,3.950484,0.999948
138,0.138000,0.061746,-0.092509,0.000000,0.061746,3.665859,0.999952
139,0.139000,0.060070,-0.084332,0.000000,0.060070,3.499064,0.999956
140,0.140000,0.058339,-0.075805,0.000000,0.058339,3.429703,0.999959
141,0.141000,0.056557,-0.067012,0.000000,0.056557,4.097074,0.999963
142,0.142000,0.054730,-0.057978,0.000000,0.054730,3.812441,0.999966
143,0.143000,0.052860,-0.048711,0.000000,0.052860,2.300243,0.999970
144,0.144000,0.050951,-0.039216,0.000000,0.050951,2.249129,0.999973
145,0.145000,0.049009,-0.029505,0.000000,0.049009,1.867999,0.999976
146,0.146000,0.047036,-0.019591,0.000000,0.047036,1.587955,0.999979
147,0.147000,0.045039,-0.009478,0.000000,0.045039,1.814429,0.999981
148,0.148000,0.043020,0.000872,0.000000,0.043020,0.523447,0.999984
149,0.149000,0.040985,0.011456,0.000000,0.040985,-1.680918,0.999986
150,0.150000,0.038938,0.022184,0.000000,0.038938,-3.637402,0.999988
151,0.151000,0.036883,0.033030,0.000000,0.036883,-3.685349,0.999990
152,0.152000,0.034827,0.043969,0.000000,0.034827,-3.579436,0.999991
153,0.153000,0.032773,0.054980,0.000000,0.032773,-4.174707,0.999993
154,0.154000,0.030726,0.066073,0.000000,0.030726,-4.793181,0.999994
155,0.155000,0.028691,0.077181,0.000000,0.028691,-5.475567,0.999995
156,0.156000,0.026673,0.088160,0.000000,0.026673,-6.167900,0.999996
157,0.157000,0.024677,0.098865,0.000000,0.024677,-6.954906,0.999997
158,0.158000,0.022707,0.109262,0.000000,0.022707,-3.574231,0.999998
159,0.159000,0.020768,0.119358,0.000000,0.020768,-3.528825,0.999999
160,0.160000,0.018864,0.129129,0.000000,0.018864,-3.334052,0.999999
161,0.161000,0.017000,0.138539,0.000000,0.017000,-3.043961,0.999999
162,0.162000,0.015179,0.147547,0.000000,0.015179,-1.473266,1.000000
163,0.163000,0.013407,0.156106,0.000000,0.013407,-1.241382,1.000000
164,0.164000,0.011686,0.164164,0.000000,0.011686,-2.063283,1.000000
165,0.165000,0.010020,0.171908,0.000000,0.010020,-2.553803,1.000000
166,0.166000,0.008412,0.179394,0.000000,0.008412,-3.013180,1.000000
167,0.167000,0.006867,0.186648,0.000000,0.006867,-3.457475,1.000000
168,0.168000,0.005386,0.193689,0.000000,0.005386,-3.838150,1.000000
169,0.169000,0.003974,0.200611,0.000000,0.003974,-4.188281,1.000000
170,0.170000,0.002634,0.207448,0.000000,0.002634,-4.572888,1.000000
171,0.171000,0.001368,0.214159,0.000000,0.001368,-4.959231,0.999999
172,0.172000,0.000179,0.220699,0.000000,0.000179,-5.297797,0.999999
173,0.173000,-0.000930,0.227030,0.000000,-0.000930,-5.607296,0.999999
174,0.174000,-0.001956,0.233116,0.000000,-0.001956,-5.890549,0.999999
175,0.175000,-0.002896,0.238926,0.000000,-0.002896,-6.283045,0.999999
176,0.176000,-0.003748,0.244437,0.000000,-0.003748,-6.683870,0.999999
177,0.177000,-0.004510,0.249622,0.000000,-0.004510,-5.328795,0.999999
178,0.178000,-0.005179,0.254454,0.000000,-0.005179,-5.287431,0.999999
179,0.179000,-0.005754,0.258912,0.000000,-0.005754,-5.744863,0.999999
180,0.180000,-0.006233,0.262974,0.000000,-0.006233,-6.534865,0.999999
181,0.181000,-0.006613,0.266623,0.000000,-0.006613,-7.390882,0.999999
182,0.182000,-0.006894,0.269835,0.000000,-0.006894,-7.234276,0.999999
183,0.183000,-0.007074,0.272584,0.000000,-0.007074,-7.983557,0.999999
184,0.184000,-0.007152,0.274944,0.000000,-0.007152,-8.529921,1.000000
185,0.185000,-0.007128,0.276940,0.000000,-0.007128,-8.841563,1.000000
186,0.186000,-0.007000,0.278554,0.000000,-0.007000,-10.261312,1.000000
187,0.187000,-0.006768,0.279734,0.000000,-0.006768,-10.942025,1.000000
188,0.188000,-0.006431,0.280419,0.000000,-0.006431,-11.408941,1.000000
189,0.189000,-0.005990,0.280606,0.000000,-0.005990,-12.773214,1.000000
190,0.190000,-0.005445,0.280252,0.000000,-0.005445,-13.339865,1.000000
191,0.191000,-0.004796,0.279321,0.000000,-0.004796,-11.677755,1.000000
192,0.192000,-0.004043,0.277788,0.000000,-0.004043,-9.490402,1.000000
193,0.193000,-0.003188,0.275569,0.000000,-0.003188,-8.146024,0.999999
194,0.194000,-0.002231,0.272609,0.000000,-0.002231,-8.225946,0.999999
195,0.195000,-0.001175,0.268872,0.000000,-0.001175,-8.188635,0.999998
196,0.196000,-0.000020,0.264277,0.000000,-0.000020,-7.677841,0.999998
197,0.197000,0.001231,0.258778,0.000000,0.001231,-7.204422,0.999997
198,0.198000,0.002576,0.252465,0.000000,0.002576,-6.551757,0.999996
199,0.199000,0.004011,0.245495,0.000000,0.004011,-6.258264,0.999995
200,0.200000,0.005534,0.237987,0.000000,0.005534,-5.922903,0.999993
201,0.201000,0.007142,0.229966,0.000000,0.007142,-5.266360,0.999992
202,0.202000,0.008830,0.221436,0.000000,0.008830,-4.105514,0.999990
203,0.203000,0.010595,0.212423,0.000000,0.010595,-3.689634,0.999988
204,0.204000,0.012434,0.202958,0.000000,0.012434,-3.438863,0.999985
205,0.205000,0.014341,0.193083,0.000000,0.014341,-3.164471,0.999983
206,0.206000,0.016313,0.182823,0.000000,0.016313,-2.826144,0.999980
207,0.207000,0.018345,0.172202,0.000000,0.018345,-2.394999,0.999977
208,0.208000,0.020433,0.161258,0.000000,0.020433,-1.970277,0.999974
209,0.209000,0.022571,0.150068,0.000000,0.022571,-1.520669,0.999970
210,0.210000,0.024755,0.138671,0.000000,0.024755,-1.065005,0.999967
211,0.211000,0.026980,0.127086,0.000000,0.026980,-0.608594,0.999963
212,0.212000,0.029241,0.115332,0.000000,0.029241,-0.162627,0.999958
213,0.213000,0.031532,0.103427,0.000000,0.031532,0.257802,0.999954
214,0.214000,0.033848,0.091398,0.000000,0.033848,0.642442,0.999949
215,0.215000,0.036184,0.079274,0.000000,0.036184,0.988572,0.999945
216,0.216000,0.038536,0.067085,0.000000,0.038536,1.300991,0.999940
217,0.217000,0.040896,0.054862,0.000000,0.040896,1.595176,0.999934
218,0.218000,0.043261,0.042635,0.000000,0.043261,1.882967,0.999929
219,0.219000,0.045624,0.030436,0.000000,0.045624,2.160723,0.999924
220,0.220000,0.047980,0.018292,0.000000,0.047980,2.393985,0.999918
221,0.221000,0.050325,0.006230,0.000000,0.050325,2.564068,0.999913
222,0.222000,0.052652,-0.005727,0.000000,0.052652,2.686513,0.999907
223,0.223000,0.054956,-0.017558,0.000000,0.054956,2.784431,0.999902
224,0.224000,0.057233,-0.029246,0.000000,0.057233,2.874134,0.999896
225,0.225000,0.059476,-0.040770,0.000000,0.059476,2.963459,0.999891
226,0.226000,0.061682,-0.052114,0.000000,0.061682,3.062732,0.999886
227,0.227000,0.063845,-0.063263,0.000000,0.063845,3.169369,0.999880
228,0.228000,0.065960,-0.074206,0.000000,0.065960,3.279242,0.999875
229,0.229000,0.068022,-0.084935,0.000000,0.068022,3.393386,0.999870
230,0.230000,0.070026,-0.095445,0.000000,0.070026,3.512914,0.999865
231,0.231000,0.071969,-0.105732,0.000000,0.071969,3.639010,0.999861
232,0.232000,0.073845,-0.115792,0.000000,0.073845,3.773017,0.999856
233,0.233000,0.075651,-0.125619,0.000000,0.075651,3.906685,0.999852
234,0.234000,0.077381,-0.135208,0.000000,0.077381,4.036233,0.999848
235,0.235000,0.079032,-0.144551,0.000000,0.079032,4.176873,0.999845
236,0.236000,0.080600,-0.153642,0.000000,0.080600,4.330895,0.999842
237,0.237000,0.082080,-0.162473,0.000000,0.082080,4.501397,0.999839
238,0.238000,0.083469,-0.171038,0.000000,0.083469,4.693215,0.999837
239,0.239000,0.084763,-0.179327,0.000000,0.084763,4.925376,0.999835
240,0.240000,0.085960,-0.187332,0.000000,0.085960,5.253099,0.999833
